"Lizard.activity"	"Degree.days.above.thermal.minimum"	"Cloud.cover"
5.926926026	47.475	7.2
5.910796644	33.285	4.8
5.723585102	40.545	9
5.318119994	40.815	3.6
4.96284463	45.045	6.9
5.241747015	25.71	7.8
4.634728988	18.975	9.3
4.094344562	42.03	8.6
4.369447852	25.035	11.2
3.951243719	6.195	9.5
3.871201011	19.32	12.8
3.850147602	30.99	13.1
3.737669618	10.275	12.2
3.091042453	15.855	11
2.63905733	10.035	14.7
1.945910149	5.52	11.1
